Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.762,92.718,77.182,10265,-652.308
ChopterLearningBrain,0.667,185.509,78.426,10265,-581.728
ChopterLearningBrain,0.704,275.349,76.561,10265,-500.116
ChopterLearningBrain,0.667,366.065,76.963,10270,-430.355
ChopterLearningBrain,0.667,451.622,72.271,10265,-370.010
ChopterLearningBrain,0.654,538.916,74.130,10265,-318.813
ChopterLearningBrain,0.673,622.815,71.351,10270,-269.973
ChopterLearningBrain,0.695,706.949,71.361,10265,-222.323
ChopterLearningBrain,0.672,791.417,71.633,10265,-165.416
ChopterLearningBrain,0.683,878.576,73.423,10270,-107.502
ChopterLearningBrain,0.700,964.788,73.398,10265,-50.253
ChopterLearningBrain,0.690,1054.916,76.391,10265,3.152
ChopterLearningBrain,0.649,1143.098,74.763,10270,56.184
ChopterLearningBrain,0.691,1230.347,74.251,10265,101.835
ChopterLearningBrain,0.625,1317.005,73.539,10265,143.123
ChopterLearningBrain,0.627,1400.773,71.102,10270,182.691
ChopterLearningBrain,0.665,1483.961,70.475,10265,216.761
ChopterLearningBrain,0.671,1567.016,70.098,10265,246.198
ChopterLearningBrain,0.697,1651.038,71.430,10270,273.876
ChopterLearningBrain,0.652,1736.240,72.005,10265,300.599
ChopterLearningBrain,0.653,1820.076,71.087,10265,325.001
ChopterLearningBrain,0.720,1904.381,71.410,10270,347.531
ChopterLearningBrain,0.689,1987.662,70.894,10265,367.865
ChopterLearningBrain,0.649,2071.909,71.539,10265,386.294
ChopterLearningBrain,0.707,2158.333,72.798,10270,403.901
ChopterLearningBrain,0.681,2240.935,69.803,10265,419.676
ChopterLearningBrain,0.641,2324.618,71.346,10265,434.059
ChopterLearningBrain,0.675,2409.571,71.951,10270,448.302
ChopterLearningBrain,0.676,2517.727,72.053,10265,461.497
