Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.882,10.199,6.908,11880,-608.245
ChopterLearningBrain,0.801,17.553,5.972,12060,-524.044
ChopterLearningBrain,0.787,24.613,5.726,11880,-477.113
ChopterLearningBrain,0.833,31.794,5.893,12060,-404.496
ChopterLearningBrain,0.849,39.138,5.926,12060,-334.314
ChopterLearningBrain,0.857,46.315,5.767,11880,-304.006
ChopterLearningBrain,0.839,53.341,5.744,12060,-239.943
ChopterLearningBrain,0.820,60.449,5.734,12060,-176.339
ChopterLearningBrain,0.866,67.468,5.614,11880,-140.009
ChopterLearningBrain,0.811,74.456,5.720,12060,-71.775
ChopterLearningBrain,0.880,81.607,5.720,12060,-0.184
ChopterLearningBrain,0.844,88.586,5.600,11880,34.144
ChopterLearningBrain,0.808,95.551,5.713,12060,97.597
ChopterLearningBrain,0.800,102.580,5.676,12060,153.964
ChopterLearningBrain,0.782,109.484,5.572,11880,179.503
ChopterLearningBrain,0.836,116.536,5.750,12060,225.641
ChopterLearningBrain,0.770,123.497,5.645,12060,266.333
ChopterLearningBrain,0.807,130.356,5.492,11880,285.365
ChopterLearningBrain,0.836,137.396,5.743,12060,318.556
ChopterLearningBrain,0.817,144.513,5.737,12060,349.090
ChopterLearningBrain,0.849,151.598,5.695,11880,363.417
ChopterLearningBrain,0.875,158.751,5.820,12060,389.950
ChopterLearningBrain,0.808,165.888,5.764,12060,414.239
ChopterLearningBrain,0.766,172.834,5.617,11880,425.356
ChopterLearningBrain,0.862,179.829,5.690,12060,446.356
ChopterLearningBrain,0.857,186.999,5.743,12060,465.858
ChopterLearningBrain,0.850,193.902,5.507,11880,475.094
ChopterLearningBrain,0.818,200.874,5.698,12060,492.515
ChopterLearningBrain,0.800,207.923,5.688,12060,508.254
ChopterLearningBrain,0.874,215.007,5.663,11880,515.654
ChopterLearningBrain,0.820,221.883,5.608,12060,529.369
ChopterLearningBrain,0.849,229.088,5.795,12060,542.778
ChopterLearningBrain,0.825,236.053,5.577,11880,549.143
ChopterLearningBrain,0.832,243.062,5.724,12060,561.080
ChopterLearningBrain,0.759,250.127,5.739,12060,572.238
ChopterLearningBrain,0.849,257.017,5.513,11880,577.474
ChopterLearningBrain,0.901,264.049,5.693,12060,587.427
ChopterLearningBrain,0.890,271.154,5.656,12060,597.162
ChopterLearningBrain,0.842,278.118,5.573,11880,601.893
ChopterLearningBrain,0.873,285.266,5.825,12060,610.802
ChopterLearningBrain,0.871,292.458,5.747,12060,619.317
ChopterLearningBrain,0.815,299.440,5.597,11880,623.327
ChopterLearningBrain,0.878,306.459,5.686,12060,631.002
ChopterLearningBrain,0.879,313.580,5.665,12060,637.983
ChopterLearningBrain,0.869,320.592,5.587,11880,641.501
ChopterLearningBrain,0.889,327.696,5.752,12060,648.406
ChopterLearningBrain,0.796,334.730,5.672,12060,654.974
ChopterLearningBrain,0.803,341.582,5.508,11880,657.917
ChopterLearningBrain,0.846,348.658,5.777,12060,663.772
ChopterLearningBrain,0.820,355.716,5.672,12060,669.482
ChopterLearningBrain,0.843,362.711,5.585,11880,672.007
ChopterLearningBrain,0.855,369.734,5.706,12060,677.427
ChopterLearningBrain,0.823,376.827,5.734,12060,682.710
ChopterLearningBrain,0.865,383.767,5.542,11880,685.244
ChopterLearningBrain,0.831,390.761,5.716,12060,689.969
ChopterLearningBrain,0.865,397.931,5.737,12060,694.288
ChopterLearningBrain,0.887,404.952,5.574,11880,695.983
ChopterLearningBrain,0.844,411.988,5.741,12060,699.756
ChopterLearningBrain,0.823,419.106,5.720,12060,703.881
ChopterLearningBrain,0.865,426.046,5.524,11880,705.923
ChopterLearningBrain,0.849,433.052,5.717,12060,709.796
ChopterLearningBrain,0.859,440.186,5.709,12060,713.367
ChopterLearningBrain,0.821,446.981,5.451,11880,715.357
ChopterLearningBrain,0.811,454.030,5.782,12060,719.113
ChopterLearningBrain,0.807,461.049,5.648,12060,722.742
ChopterLearningBrain,0.889,468.126,5.633,11880,724.548
ChopterLearningBrain,0.816,475.145,5.749,12060,728.025
ChopterLearningBrain,0.844,482.257,5.718,12060,731.394
ChopterLearningBrain,0.868,489.374,5.681,11880,733.005
ChopterLearningBrain,0.862,496.350,5.679,12060,736.139
ChopterLearningBrain,0.828,503.433,5.685,12060,739.163
ChopterLearningBrain,0.818,510.565,5.758,11880,740.463
ChopterLearningBrain,0.890,517.715,5.816,12060,743.236
ChopterLearningBrain,0.848,524.728,5.606,12060,745.799
ChopterLearningBrain,0.872,531.783,5.606,11880,747.129
ChopterLearningBrain,0.853,538.838,5.739,12060,749.778
ChopterLearningBrain,0.848,545.975,5.721,12060,752.360
ChopterLearningBrain,0.832,552.924,5.593,11880,753.675
ChopterLearningBrain,0.820,559.901,5.712,12060,756.217
ChopterLearningBrain,0.819,566.755,5.506,12060,758.604
ChopterLearningBrain,0.875,573.631,5.469,11880,759.758
ChopterLearningBrain,0.841,580.547,5.633,12060,761.946
ChopterLearningBrain,0.803,587.713,5.804,12060,764.220
ChopterLearningBrain,0.865,594.573,5.451,11880,765.340
ChopterLearningBrain,0.828,601.573,5.711,12060,767.519
ChopterLearningBrain,0.863,608.724,5.726,12060,769.733
ChopterLearningBrain,0.815,615.690,5.594,11880,770.835
ChopterLearningBrain,0.804,622.738,5.798,12060,772.923
ChopterLearningBrain,0.824,629.763,5.655,12060,774.964
ChopterLearningBrain,0.854,636.762,5.599,11880,775.976
ChopterLearningBrain,0.823,643.755,5.733,12060,777.950
ChopterLearningBrain,0.856,650.835,5.661,12060,779.928
ChopterLearningBrain,0.877,657.797,5.549,11880,780.889
ChopterLearningBrain,0.870,664.862,5.745,12060,782.762
ChopterLearningBrain,0.791,671.933,5.717,12060,784.633
ChopterLearningBrain,0.819,678.850,5.568,11880,785.551
ChopterLearningBrain,0.904,685.974,5.786,12060,787.358
ChopterLearningBrain,0.833,692.993,5.614,12060,789.135
ChopterLearningBrain,0.876,700.016,5.587,11880,789.991
ChopterLearningBrain,0.843,706.953,5.650,12060,791.710
ChopterLearningBrain,0.833,713.980,5.625,12060,793.390
ChopterLearningBrain,0.805,720.816,5.480,11880,794.232
ChopterLearningBrain,0.838,727.855,5.761,12060,795.769
