Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.729,34.676,27.738,10395,-645.296
ChopterLearningBrain,0.671,66.795,26.983,10395,-545.349
ChopterLearningBrain,0.668,99.015,27.139,10395,-477.537
ChopterLearningBrain,0.657,129.674,25.641,10410,-403.416
ChopterLearningBrain,0.654,160.548,26.094,10395,-343.758
ChopterLearningBrain,0.676,192.159,26.542,10395,-292.771
ChopterLearningBrain,0.680,223.950,26.839,10410,-240.471
ChopterLearningBrain,0.692,255.570,26.506,10395,-182.312
ChopterLearningBrain,0.698,287.752,27.126,10395,-122.629
ChopterLearningBrain,0.722,319.090,26.246,10410,-56.041
ChopterLearningBrain,0.712,351.083,26.894,10395,1.153
ChopterLearningBrain,0.702,382.129,25.992,10395,55.055
ChopterLearningBrain,0.688,414.606,27.118,10410,107.233
ChopterLearningBrain,0.674,445.125,25.540,10395,153.278
ChopterLearningBrain,0.650,476.534,25.929,10395,193.828
ChopterLearningBrain,0.651,507.405,26.131,10410,232.248
ChopterLearningBrain,0.670,538.198,25.805,10395,264.925
ChopterLearningBrain,0.678,568.904,25.771,10395,294.763
ChopterLearningBrain,0.662,599.435,25.676,10410,323.128
ChopterLearningBrain,0.619,630.029,25.770,10395,347.441
ChopterLearningBrain,0.715,660.802,25.824,10395,370.205
ChopterLearningBrain,0.697,691.461,25.728,10410,392.461
ChopterLearningBrain,0.696,722.989,26.487,10395,411.642
ChopterLearningBrain,0.669,753.567,25.766,10395,429.629
ChopterLearningBrain,0.657,784.379,25.840,10410,447.480
ChopterLearningBrain,0.653,815.256,25.910,10395,462.694
ChopterLearningBrain,0.685,845.983,25.717,10395,477.031
ChopterLearningBrain,0.698,876.585,25.565,10410,491.003
ChopterLearningBrain,0.688,909.237,27.152,10395,503.725
ChopterLearningBrain,0.671,940.037,25.777,10395,515.274
ChopterLearningBrain,0.684,970.346,25.399,10410,527.090
ChopterLearningBrain,0.692,1001.574,26.236,10395,537.752
ChopterLearningBrain,0.674,1032.552,26.016,10395,547.565
ChopterLearningBrain,0.703,1063.546,25.977,10410,557.423
ChopterLearningBrain,0.638,1093.051,24.813,10395,566.213
ChopterLearningBrain,0.633,1123.406,25.449,10395,574.618
ChopterLearningBrain,0.661,1153.216,25.006,10410,582.888
ChopterLearningBrain,0.704,1184.526,26.248,10395,590.540
ChopterLearningBrain,0.640,1215.850,26.330,10395,597.905
ChopterLearningBrain,0.650,1247.190,26.337,10410,605.350
ChopterLearningBrain,0.718,1277.407,25.315,10395,612.048
ChopterLearningBrain,0.694,1308.101,25.806,10395,617.755
ChopterLearningBrain,0.673,1338.881,25.750,10410,623.882
ChopterLearningBrain,0.677,1370.281,26.081,10395,629.784
ChopterLearningBrain,0.647,1400.759,25.593,10395,635.408
ChopterLearningBrain,0.634,1430.344,24.847,10410,641.133
ChopterLearningBrain,0.667,1461.494,26.151,10395,646.320
ChopterLearningBrain,0.721,1491.658,25.343,10395,651.344
ChopterLearningBrain,0.675,1522.859,26.191,10410,656.361
ChopterLearningBrain,0.715,1553.360,25.665,10395,660.995
ChopterLearningBrain,0.696,1584.431,26.075,10395,665.407
ChopterLearningBrain,0.660,1615.995,26.764,10410,669.154
ChopterLearningBrain,0.713,1647.127,26.028,10395,673.246
ChopterLearningBrain,0.686,1677.780,25.685,10395,677.162
ChopterLearningBrain,0.677,1708.321,25.695,10410,681.122
ChopterLearningBrain,0.669,1738.732,25.526,10395,684.907
ChopterLearningBrain,0.678,1769.148,25.452,10395,688.590
ChopterLearningBrain,0.675,1800.781,26.180,10410,692.330
ChopterLearningBrain,0.670,1831.701,25.950,10395,695.641
ChopterLearningBrain,0.672,1863.016,26.316,10395,698.931
ChopterLearningBrain,0.690,1893.363,25.497,10410,702.317
ChopterLearningBrain,0.647,1923.827,25.552,10395,705.460
ChopterLearningBrain,0.669,1954.722,25.875,10395,708.464
ChopterLearningBrain,0.685,1985.684,25.940,10410,711.572
ChopterLearningBrain,0.703,2016.169,25.608,10395,714.437
ChopterLearningBrain,0.669,2046.907,25.770,10395,717.148
ChopterLearningBrain,0.667,2077.253,25.601,10410,719.972
ChopterLearningBrain,0.679,2107.712,25.539,10395,722.523
ChopterLearningBrain,0.659,2138.140,25.731,10395,725.003
ChopterLearningBrain,0.717,2168.988,25.865,10410,727.546
ChopterLearningBrain,0.671,2208.846,26.619,10395,729.940
ChopterLearningBrain,0.659,2239.879,26.042,10395,732.279
